,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
0,RIVN,2021-11-10,106.75,119.459999,95.199997,100.730003,100.730003,103679500
13,LCID,2021-11-10,42.299999,45.0,39.341,40.75,40.75,79342800
14,LCID,2021-11-11,42.75,45.75,41.740002,44.98,44.98,69846300
15,LCID,2021-11-12,44.0,45.189999,42.740002,43.93,43.93,40899600
16,LCID,2021-11-15,44.599998,46.139999,43.41,44.880001,44.880001,77111000
17,LCID,2021-11-16,49.93,55.68,46.508999,55.52,55.52,248654600
18,LCID,2021-11-17,56.200001,57.75,50.310001,52.549999,52.549999,198386200
19,LCID,2021-11-18,49.029999,49.669998,43.0,47.049999,47.049999,131634800
20,LCID,2021-11-19,47.16,55.400002,47.150002,55.209999,55.209999,166276500
21,LCID,2021-11-22,53.035,57.439999,50.080002,51.119999,51.119999,130761800
22,LCID,2021-11-23,51.674999,54.330002,49.52,52.439999,52.439999,87998800
23,LCID,2021-11-24,51.740002,53.5,49.830002,52.57,52.57,61225300
24,LCID,2021-11-26,49.450001,52.369999,49.412998,51.720001,51.720001,36708000
25,LCID,2021-11-29,52.029999,55.330002,50.709999,55.060001,55.060001,76581500
26,GM,2021-11-10,57.849998,60.560001,57.73,59.27,59.27,22778600
27,GM,2021-11-11,59.82,62.150002,59.310001,61.82,61.82,29033900
28,GM,2021-11-12,61.59,64.029999,61.279999,63.400002,63.400002,31142800
29,GM,2021-11-15,63.66,63.73,62.630001,62.970001,62.970001,14372100
30,GM,2021-11-16,63.240002,63.279999,61.93,62.610001,62.610001,16115000
31,GM,2021-11-17,63.330002,65.07,62.380001,64.610001,64.610001,29983400
32,GM,2021-11-18,64.330002,65.18,62.09,62.330002,62.330002,23308100
33,GM,2021-11-19,62.48,62.970001,61.560001,61.799999,61.799999,19508500
34,GM,2021-11-22,61.950001,64.959999,61.759998,64.059998,64.059998,19836200
35,GM,2021-11-23,63.73,64.040001,62.259998,63.049999,63.049999,16225100
36,GM,2021-11-24,62.299999,62.599998,61.630001,62.189999,62.189999,12685000
37,GM,2021-11-26,59.799999,60.57,59.459999,60.169998,60.169998,13272600
38,GM,2021-11-29,61.110001,61.540001,59.650002,59.860001,59.860001,15022400
